id,word,segments,labels,origin
1,onuruna,onur+u+na,P3SG+DAT,adjudicated_old
2,kale,kale,,annotator_agreed
3,canları,can+lar+ı,,annotator_agreed
4,kapsamında,kapsam+ı+nda,P3SG+LOC,adjudicated_old
5,varsada,var+sa+da,COND+LOC,annotator_agreed
6,bağlamda,bağlam+da,LOC,annotator_agreed
7,doktorların,doktor+lar+ın,,annotator_agreed
8,külahlar,külah+lar,PL,annotator_agreed
9,Ekber,Ekber,,annotator_agreed
10,gazete,gazete,,annotator_agreed
11,kuruluşundan,kuruluş+un+dan,,annotator_agreed
12,günlerde,gün+ler+de,PL+LOC,annotator_agreed
13,politik,politik,,annotator_agreed
14,deneyemedim,deney+e+me+dim,,annotator_agreed
15,puan,puan,,adjudicated_old
16,bana,bana,,annotator_agreed
17,sürdürdüğünü,sürdür+düğ+ü+nü,PTCP+P3SG+ACC,adjudicated_old
18,Bobby,Bobby,,annotator_agreed
19,olduğundan,ol+duğ+u+ndan,,annotator_agreed
20,kimileri,kimi+ler+i,,annotator_agreed
21,Sanat,Sanat,,annotator_agreed
22,bayanı,bayan+ı,,annotator_agreed
23,Konak,Konak,,annotator_agreed
24,geçtiğini,geç+tiğ+i+ni,PTCP+P3SG+ACC,adjudicated_old
25,Boğazı,Boğaz+ı,,annotator_agreed
26,görüşlerinizi,görüş+ler+iniz+i,PL+P2PL+ACC,adjudicated_old
27,genişletirken,genişlet+ir+ken,AOR+CV,annotator_agreed
28,biliniyor,bil+in+iyor,PASS/REFL+PROG,adjudicated_old
29,Çağlan,Çağlan,,annotator_agreed
30,kalite,kalite,,annotator_agreed
31,kariyerini,kariyer+i+ni,,annotator_agreed
32,mümkündür,mümkün+dür,COP,annotator_agreed
33,Sarfettiği,Sarfet+tiğ+i,PTCP+P3SG/ACC,adjudicated_old
34,olmasıyla,olma+sı+yla,P3SG+INS,annotator_agreed
35,Denetçisi,Denetçi+si,P3SG,annotator_agreed
36,gözlerini,göz+ler+i+ni,,annotator_agreed
37,KULLANILMALI,KULLAN+IL+MALI,PASS/REFL+NEC,adjudicated_old
38,milletin,millet+in,,annotator_agreed
39,itibari,itibari,,annotator_agreed
40,Bunun,Bu+nun,GEN,adjudicated_old
41,Üretilen,Üret+il+en,,annotator_agreed
42,alma,alma,,annotator_agreed
43,Yabancı,Yaban+cı,AGT,adjudicated_old
44,Ağustos,Ağustos,,annotator_agreed
45,Yayılarak,Yayıl+arak,CV,annotator_agreed
46,vergisi,vergi+si,P3SG,annotator_agreed
47,motorlu,motor+lu,ADJ,annotator_agreed
48,aşımına,aşım+ı+na,P3SG+DAT,adjudicated_old
49,bozukluğu,bozukluğ+u,,annotator_agreed
50,değer,değer,,adjudicated_old
51,uğramalısınız,uğra+malı+sınız,,annotator_agreed
52,Monetary,Monetary,,annotator_agreed
53,hayır,hayır,,adjudicated_old
54,milyar,milyar,,adjudicated_old
55,Olimposlular,Olimpos+lu+lar,ADJ+PL,adjudicated_old
56,araştırılması,araştırılma+sı,P3SG,annotator_agreed
57,gündemi,gündem+i,,annotator_agreed
58,yıla,yıl+a,DAT,annotator_agreed
59,finalde,final+de,LOC,annotator_agreed
60,toplamdan,toplam+dan,ABL,annotator_agreed
61,gözlere,göz+ler+e,PL+DAT,annotator_agreed
62,gerekir,gerek+ir,AOR,annotator_agreed
63,Azimli,Azim+li,ADJ,adjudicated_old
64,İşlemin,İşlem+in,,annotator_agreed
65,çağdaş,çağdaş,,annotator_agreed
66,dolarlık,dolar+lık,NMLZ,annotator_agreed
67,bölgelerinde,bölge+ler+in+de,,annotator_agreed
68,dostlarının,dost+lar+ı+nın,,annotator_agreed
69,gezer,gez+er,AOR,annotator_agreed
70,sıkı,sıkı,,annotator_agreed
71,gerilim,gerilim,,annotator_agreed
72,özel,özel,,annotator_agreed
73,yuvası,yuva+sı,P3SG,annotator_agreed
74,yerin,yer+in,,annotator_agreed
75,çekiyor,çek+iyor,PROG,annotator_agreed
76,Cumhurbaşkanımızın,Cumhurbaşkan+ımız+ın,,annotator_agreed
77,dermapen,dermapen,,adjudicated_old
78,derim,der+im,A1SG/P1SG,adjudicated_old
79,Başlıca,Başlıca,,annotator_agreed
80,kıyafetlerde,kıyafet+ler+de,PL+LOC,annotator_agreed
81,Gurbetçi,Gurbet+çi,AGT,annotator_agreed
82,Anıtı,Anıt+ı,,annotator_agreed
83,anlattı,anlat+tı,PAST,annotator_agreed
84,Bizlere,Biz+ler+e,PL+DAT,annotator_agreed
85,aldığı,al+dığ+ı,PTCP+P3SG/ACC,adjudicated_old
86,yakasız,yaka+sız,,annotator_agreed
87,adımlar,adım+lar,PL,annotator_agreed
88,Yüksek,Yüksek,,annotator_agreed
89,almaz,al+maz,NEG.AOR,adjudicated_old
90,bireylerin,birey+ler+in,,annotator_agreed
91,kurufasulyeciydi,kurufasulyeci+ydi,,annotator_agreed
92,Teyyare,Teyyare,,annotator_agreed
93,Bornova,Bornova,,annotator_agreed
94,unutmayınız,unut+ma+yınız,NEG+A2PL/IMP,adjudicated_old
95,Mali,Mali,,annotator_agreed
96,uymak,uy+mak,INF,annotator_agreed
97,küresel,küre+sel,,annotator_agreed
98,demokrat,demokrat,,annotator_agreed
99,ordusunun,ordu+su+nun,,annotator_agreed
100,Başkanımız,Başkan+ımız,P1PL,annotator_agreed
101,Arama,Ara+ma,VN/NEG,adjudicated_old
102,girişimde,girişim+de,LOC,annotator_agreed
103,buluşlar,buluş+lar,PL,annotator_agreed
104,Manolova,Manolova,,annotator_agreed
105,eksik,eksik,,annotator_agreed
106,bilenlere,bil+en+ler+e,PTCP+PL+DAT,adjudicated_old
107,sorar,sor+ar,AOR,annotator_agreed
108,filme,film+e,DAT,annotator_agreed
109,artış,artış,,annotator_agreed
110,bakanı,bakan+ı,P3SG/ACC,adjudicated_old
111,Julius,Julius,,annotator_agreed
112,öğretmenlerimizin,öğretmen+ler+imiz+in,,annotator_agreed
113,tren,tren,,adjudicated_old
114,yapmak,yap+mak,INF,adjudicated_old
115,aşkla,aşk+la,INS,annotator_agreed
116,vergi,vergi,,annotator_agreed
117,tuşla,tuş+la,UNK,adjudicated_old
118,görüşmesinin,görüş+me+si+nin,,annotator_agreed
119,dönümlük,dönüm+lük,NMLZ,annotator_agreed
120,velimiz,veli+miz,P1PL,annotator_agreed
121,komisyonu,komisyon+u,,annotator_agreed
122,kıyılarında,kıyı+lar+ı+nda,PL+P3SG+LOC,adjudicated_old
123,Müdürlüğü,Müdürlüğ+ü,,annotator_agreed
124,üzerinden,üzer+i+nden,P3SG+ABL,adjudicated_old
125,Güncelleme,Güncelle+me,VN,adjudicated_old
126,Tüneli,Tünel+i,,annotator_agreed
127,Fethullah,Fethullah,,annotator_agreed
128,ırkçılığı,ırk+çı+lığ+ı,AGT+NMLZ+P3SG/ACC,adjudicated_old
129,olduğum,ol+duğ+um,,annotator_agreed
130,nezdinde,nezd+i+nde,P3SG+LOC,adjudicated_old
131,saatler,saat+ler,PL,annotator_agreed
132,Beyaz,Beyaz,,annotator_agreed
133,ordu,ordu,,adjudicated_old
134,katılamazlar,katıl+a+ma+z+lar,ABIL+NEG+AOR+A3PL,adjudicated_old
135,nostaljik,nostaljik,,annotator_agreed
136,ışık,ışık,,annotator_agreed
137,kademenin,kademe+nin,,annotator_agreed
138,güvenebilir,güven+ebil+ir,ABIL+AOR,annotator_agreed
139,detaylı,detay+lı,ADJ,annotator_agreed
140,yükselmekte,yüksel+mekte,PROG,adjudicated_old
141,görmüş,gör+müş,,annotator_agreed
142,altın,altın,,annotator_agreed
143,sizlerde,siz+ler+de,PL+LOC,annotator_agreed
144,güçlü,güç+lü,ADJ,annotator_agreed
145,Eğitimleri,Eğitim+ler+i,,annotator_agreed
146,Çocukları,Çocuk+lar+ı,,annotator_agreed
147,mağduriyeti,mağduriyet+i,,annotator_agreed
148,adapte,adapte,,annotator_agreed
149,etmektedir,et+mekte+dir,PROG+COP,annotator_agreed
150,üzerine,üzer+i+ne,P3SG+DAT,adjudicated_old
151,sadece,sadece,,annotator_agreed
152,oluşturur,oluştur+ur,AOR,annotator_agreed
153,Üniversitesi,Üniversite+si,P3SG,annotator_agreed
154,seçenekler,seçenek+ler,PL,annotator_agreed
155,yaklaşmasının,yaklaş+ma+sı+nın,,annotator_agreed
156,türünde,tür+ü+nde,P3SG+LOC,adjudicated_old
157,sektörünün,sektör+ü+nün,,annotator_agreed
158,onların,on+lar+ın,,annotator_agreed
159,Veli,Veli,,annotator_agreed
160,bölgede,bölge+de,LOC,annotator_agreed
161,bölgeye,bölge+ye,DAT,adjudicated_old
162,Moğol,Moğol,,annotator_agreed
163,sunuldu,sunul+du,PAST,annotator_agreed
164,Katılım,Katılım,,annotator_agreed
165,sağlayan,sağla+yan,PTCP,annotator_agreed
166,Şermin,Şermin,,annotator_agreed
167,bitti,bit+ti,PAST,annotator_agreed
168,benimle,ben+im+le,,annotator_agreed
169,Sorunlarına,Sorun+lar+ı+na,PL+P3SG+DAT,adjudicated_old
170,ettirir,et+tir+ir,CAUS+AOR,adjudicated_old
171,Kılacağız,Kıl+acağ+ız,,annotator_agreed
172,listemiz,liste+miz,P1PL,annotator_agreed
173,tersine,ters+i+ne,P3SG+DAT,adjudicated_old
174,edilmektedir,edil+mekte+dir,PROG+COP,annotator_agreed
175,Dernek,Dernek,,annotator_agreed
176,eğitimler,eğitim+ler,PL,annotator_agreed
177,Geçmişten,Geçmiş+ten,ABL,annotator_agreed
178,sertifikasına,sertifika+sı+na,P3SG+DAT,annotator_agreed
179,Dünyadaki,Dünya+da+ki,LOC+REL,annotator_agreed
180,başladığında,başla+dığ+ı+nda,,annotator_agreed
181,şirketinin,şirket+i+nin,,annotator_agreed
182,Dörtlüleri,Dörtlü+ler+i,,annotator_agreed
183,Sonuçlara,Sonuç+lar+a,PL+DAT,annotator_agreed
184,LEKESİ,LEKESİ,,annotator_agreed
185,Kartalı,Kartal+ı,,annotator_agreed
186,kıyısında,kıyı+sı+nda,,annotator_agreed
187,kuruması,kuru+ma+sı,VN+P3SG,adjudicated_old
188,gösteriyor,göster+iyor,PROG,annotator_agreed
189,sizleri,siz+ler+i,,annotator_agreed
190,taktiği,taktiğ+i,,annotator_agreed
191,gemisi,gemi+si,P3SG,annotator_agreed
192,metre,metre,,annotator_agreed
193,vermişti,ver+miş+ti,,annotator_agreed
194,bağıran,bağır+an,PTCP,annotator_agreed
195,buluşmalarını,buluşma+lar+ı+nı,,annotator_agreed
196,bırakılan,bırak+ıl+an,PASS/REFL+PTCP,adjudicated_old
197,derslerimiz,ders+ler+imiz,PL+P1PL,annotator_agreed
198,çıkarabilirsiniz,çıkar+abil+ir+siniz,ABIL+AOR+A2PL,adjudicated_old
199,Model,Model,,annotator_agreed
200,ekipmanlar,ekipman+lar,PL,annotator_agreed
201,otel,otel,,annotator_agreed
202,almıştır,al+mış+tır,,annotator_agreed
203,izleyebilir,izle+yebil+ir,ABIL+AOR,adjudicated_old
204,bildiriler,bildiri+ler,PL,annotator_agreed
205,Gaziemir,Gaziemir,,annotator_agreed
206,yatırımın,yatırım+ın,,annotator_agreed
207,Ekim,Ekim,,annotator_agreed
208,Tekbir,Tekbir,,annotator_agreed
209,ödendi,öden+di,PAST,annotator_agreed
210,halinde,hal+i+nde,P3SG+LOC,adjudicated_old
211,Kararlı,Karar+lı,ADJ,annotator_agreed
212,istenerek,isten+erek,CV,annotator_agreed
213,milyon,milyon,,annotator_agreed
214,demir,demir,,adjudicated_old
215,edeceğim,ed+eceğ+im,,annotator_agreed
216,Soruların,Soru+lar+ın,,annotator_agreed
217,Lisesi,Lise+si,P3SG,annotator_agreed
218,öğrencilerden,öğrenci+ler+den,PL+ABL,annotator_agreed
219,muhteşem,muhteşem,,annotator_agreed
220,geçirilmesiyle,geçirilme+si+yle,P3SG+INS,annotator_agreed
221,başladı,başla+dı,PAST,adjudicated_old
222,unvanı,unvan+ı,P3SG/ACC,adjudicated_old
223,Ürünlerini,Ürün+ler+i+ni,,annotator_agreed
224,AAOIFI,AAOIFI,,annotator_agreed
225,olmalıdır,ol+malı+dır,NEC+COP,annotator_agreed
226,tarzını,tarz+ı+nı,,annotator_agreed
227,Uygulamayı,Uygulama+yı,ACC,annotator_agreed
228,ilgilenmeyince,ilgilen+me+yince,NEG+CV,adjudicated_new
229,yurt,yurt,,annotator_agreed
230,açarlar,aç+ar+lar,AOR+A3PL,adjudicated_new
231,karanlığa,karanlığ+a,DAT,annotator_agreed
232,Restaurant,Restaurant,,annotator_agreed
233,Boru,Boru,,annotator_agreed
234,aşağıdaki,aşağı+da+ki,LOC+REL,annotator_agreed
235,armasıydı,arma+sı+ydı,,annotator_agreed
236,vaktiniz,vakt+iniz,P2PL,annotator_agreed
237,beklemeyin,bekle+me+yin,NEG+A2PL/IMP,adjudicated_new
238,başka,başka,,annotator_agreed
239,kırtasiyeden,kırtasiye+den,ABL,annotator_agreed
240,anlaşarak,anlaş+arak,CV,annotator_agreed
241,ÇABUK,ÇABUK,,annotator_agreed
242,düzelmesi,düzel+me+si,VN+P3SG,adjudicated_new
243,vermesi,ver+me+si,VN+P3SG,adjudicated_new
244,karanlık,karan+lık,NMLZ,annotator_agreed
245,HAYIR,HAYIR,,annotator_agreed
246,filmi,film+i,,annotator_agreed
247,Örgütü,Örgüt+ü,,annotator_agreed
248,Semaha,Semah+a,DAT,annotator_agreed
249,Bakanlığı,Bakanlığ+ı,,annotator_agreed
250,lise,lise,,annotator_agreed
251,kulak,kulak,,annotator_agreed
252,toplanarak,toplan+arak,CV,annotator_agreed
253,piyasa,piyasa,,annotator_agreed
254,adresi,adres+i,,annotator_agreed
255,yaralı,yara+lı,ADJ,annotator_agreed
256,konuda,konu+da,LOC,annotator_agreed
257,çıkarılmamış,çıkar+ıl+ma+mış,PASS/REFL+NEG+EVID/PTCP,adjudicated_new
258,programlarına,program+lar+ın+a,,annotator_agreed
259,hesap,hesap,,annotator_agreed
260,Kyle,Kyle,,annotator_agreed
261,geçtiğimiz,geç+tiğ+imiz,PTCP+P1PL,adjudicated_new
262,beğenen,beğen+en,PTCP,annotator_agreed
263,yöntemlerden,yöntem+ler+den,PL+ABL,annotator_agreed
264,askerlerin,asker+ler+in,,annotator_agreed
265,birlikte,birlikte,,annotator_agreed
266,bilgilendirilir,bilgilendiril+ir,AOR,annotator_agreed
267,Roma,Roma,,annotator_agreed
268,hafif,hafif,,annotator_agreed
269,dağıtılan,dağıt+ıl+an,PASS/REFL+PTCP,adjudicated_new
270,Keban,Keban,,annotator_agreed
271,geri,geri,,annotator_agreed
272,hedefi,hedef+i,,annotator_agreed
273,gençleştirme,genç+leş+tir+me,UNK+CAUS+VN,adjudicated_new
274,olacağımdan,ol+acağ+ım+dan,,annotator_agreed
275,dijitalin,dijital+in,,annotator_agreed
276,istedi,iste+di,PAST,adjudicated_new
277,alanları,alan+lar+ı,,annotator_agreed
278,programına,program+ı+na,P3SG+DAT,adjudicated_new
279,bırakan,bırak+an,PTCP,annotator_agreed
280,alınmazsa,alın+maz+sa,NEG.AOR+COND,annotator_agreed
281,belirten,belirt+en,PTCP,annotator_agreed
282,güneş,güneş,,annotator_agreed
283,tekrarı,tekrar+ı,,annotator_agreed
284,geçirilecektir,geçiril+ecek+tir,,annotator_agreed
285,milletvekilleri,milletvekil+ler+i,PL+P3SG/ACC,adjudicated_new
286,Jehanne,Jehanne,,annotator_agreed
287,AdEx,AdEx,,annotator_agreed
288,inanın,inan+ın,,annotator_agreed
289,oturmayı,otur+ma+yı,,annotator_agreed
290,Baraj,Baraj,,annotator_agreed
291,Menfaat,Menfaat,,annotator_agreed
292,dekovil,dekovil,,annotator_agreed
293,halde,hal+de,LOC,annotator_agreed
294,zayi,zayi,,annotator_agreed
295,Sınav,Sınav,,annotator_agreed
296,yönelik,yöne+lik,NMLZ,annotator_agreed
297,sözleşmeye,sözleş+me+ye,VN+DAT,adjudicated_new
298,okulumuza,okul+umuz+a,P1PL+DAT,annotator_agreed
299,temel,temel,,annotator_agreed
300,GERÇEKLEŞTİRDİK,GERÇEK+LEŞ+TİR+Dİ+K,UNK+CAUS+PAST+A1PL,adjudicated_new
301,ediyor,ed+iyor,PROG,annotator_agreed
302,İmparatorluk,İmparator+luk,NMLZ,adjudicated_new
303,duyuruldu,duyurul+du,PAST,annotator_agreed
304,arzusu,arzu+su,P3SG,annotator_agreed
305,cıkartır,cıkart+ır,AOR,annotator_agreed
306,irtibata,irtibat+a,DAT,annotator_agreed
307,öndeyken,ön+de+yken,LOC+CV,adjudicated_new
308,ücretsiz,ücret+siz,,annotator_agreed
309,Güreş,Güreş,,annotator_agreed
310,başlıkları,başlık+lar+ı,,annotator_agreed
311,temsilcileri,temsilci+ler+i,,annotator_agreed
312,verilmiş,veril+miş,,annotator_agreed
313,etmiyor,et+mi+yor,,annotator_agreed
314,amacı,amac+ı,,annotator_agreed
315,eğilimleri,eğilim+ler+i,,annotator_agreed
316,olmuş,ol+muş,,annotator_agreed
317,veriyorum,ver+iyor+um,PROG+A1SG,adjudicated_new
318,Mahmut,Mahmut,,annotator_agreed
319,Değerlendirme,Değerlendirme,,annotator_agreed
320,ciltteki,cilt+te+ki,LOC+REL,annotator_agreed
321,Edirne,Edirne,,annotator_agreed
322,belirtilerinin,belirti+ler+i+nin,,annotator_agreed
323,olumsuz,olum+suz,,annotator_agreed
324,için,için,,annotator_agreed
325,Güler,Güler,,adjudicated_new
326,sistemi,sistem+i,,annotator_agreed
327,aydın,aydın,,adjudicated_new
328,biçimde,biçim+de,LOC,annotator_agreed
329,açıklaması,açıkla+ma+sı,,annotator_agreed
330,yerinde,yer+i+nde,P3SG+LOC,adjudicated_new
331,Yardımcı,Yardım+cı,AGT,annotator_agreed
332,Kelimeler,Kelime+ler,PL,annotator_agreed
333,canice,canice,,annotator_agreed
334,Elimden,El+im+den,,annotator_agreed
335,Asya,Asya,,annotator_agreed
