id,word,segments,labels,origin
672,Belediye,Belediye,,annotator_agreed
673,Çünkü,Çünkü,,annotator_agreed
674,okulun,okul+un,,annotator_agreed
675,iyice,iyice,,annotator_agreed
676,Group,Group,,annotator_agreed
677,tadını,tad+ı+nı,,annotator_agreed
678,gerekliliği,gerekliliğ+i,,annotator_agreed
679,binary,binary,,annotator_agreed
680,görüşmesine,görüş+me+si+ne,VN+P3SG+DAT,adjudicated_new
681,suyunu,su+yu+nu,ACC+ACC,annotator_agreed
682,olayın,olay+ın,,annotator_agreed
683,hemen,hemen,,adjudicated_new
684,yaklaştıkça,yaklaş+tık+ça,,annotator_agreed
685,yağmalanmak,yağmala+n+mak,,annotator_agreed
686,borçlularına,borç+lu+lar+ı+na,ADJ+PL+P3SG+DAT,adjudicated_new
687,yakın,yakın,,annotator_agreed
688,bedelinin,bedel+i+nin,,annotator_agreed
689,kaynakları,kaynak+lar+ı,,annotator_agreed
690,edilen,ed+il+en,PASS/REFL+PTCP,adjudicated_new
691,finale,final+e,DAT,annotator_agreed
692,göre,göre,,annotator_agreed
693,Muhafazası,Muhafaza+sı,P3SG,annotator_agreed
694,MODELİ,MODELİ,,annotator_agreed
695,alınız,al+ınız,A2PL/IMP,adjudicated_new
696,yıldızlarından,yıldız+lar+ı+ndan,PL+P3SG+ABL,adjudicated_new
697,aktif,aktif,,annotator_agreed
698,yapmazsa,yap+maz+sa,NEG.AOR+COND,annotator_agreed
699,dallarına,dal+lar+ı+na,PL+P3SG+DAT,adjudicated_new
700,online,online,,annotator_agreed
701,dedem,dede+m,,annotator_agreed
702,biridir,biri+dir,COP,annotator_agreed
703,istenmemesi,iste+n+me+me+si,PASS/REFL+NEG+VN+P3SG,adjudicated_new
704,verdi,ver+di,PAST,adjudicated_new
705,müsait,müsait,,annotator_agreed
706,geldi,gel+di,PAST,annotator_agreed
707,Profilde,Profil+de,LOC,annotator_agreed
708,Baltık,Baltık,,annotator_agreed
709,Koordinatörü,Koordinatör+ü,,annotator_agreed
710,kaldırım,kaldırım,,annotator_agreed
711,yakalayacağını,yakala+yacağ+ı+nı,FUT.PTCP+P3SG+ACC,adjudicated_new
712,Köfte,Köfte,,annotator_agreed
713,ulaşın,ulaş+ın,,annotator_agreed
714,KREMİ,KREMİ,,annotator_agreed
715,sırasında,sıra+sı+nda,P3SG+LOC,adjudicated_new
716,Bakım,Bakım,,annotator_agreed
717,ediliyor,ed+il+iyor,PASS/REFL+PROG,adjudicated_new
718,yetkisi,yetki+si,P3SG,annotator_agreed
719,denilmektedir,denil+mekte+dir,PROG+COP,annotator_agreed
720,Ocak,Ocak,,annotator_agreed
721,zorluk,zor+luk,NMLZ,annotator_agreed
722,görünüme,görünüm+e,DAT,adjudicated_new
723,bilemedin,bil+e+me+din,ABIL+NEG+PAST.A2SG,adjudicated_new
724,aydır,ay+dır,COP,adjudicated_new
725,derslerin,ders+ler+in,,annotator_agreed
726,kurslardan,kurs+lar+dan,PL+ABL,annotator_agreed
727,gazeteci,gazete+ci,AGT,annotator_agreed
728,mağduriyet,mağduriyet,,annotator_agreed
729,üzerinde,üzer+i+nde,P3SG+LOC,adjudicated_new
730,adresinizi,adres+iniz+i,P2PL+ACC,adjudicated_new
731,Caddesinin,Cadde+si+nin,,annotator_agreed
732,kesinleşir,kesinleş+ir,AOR,annotator_agreed
733,gerekli,gerek+li,ADJ,annotator_agreed
734,Harekete,Hareket+e,DAT,annotator_agreed
735,mezun,mezun,,annotator_agreed
736,olmazıdır,olmaz+ı+dır,,annotator_agreed
737,Şehrin,Şehr+in,GEN/P2SG,adjudicated_new
738,dinleyebilmesi,dinle+yebil+me+si,ABIL+VN+P3SG,adjudicated_new
739,haberle,haber+le,INS,annotator_agreed
740,Uzmanı,Uzman+ı,,annotator_agreed
741,okuma,okuma,,annotator_agreed
742,almak,al+mak,INF,adjudicated_new
743,oldukları,ol+duk+lar+ı,,annotator_agreed
744,sözleşme,sözleşme,,annotator_agreed
745,bende,ben+de,LOC,annotator_agreed
746,Kariyeri,Kariyer+i,,annotator_agreed
747,kayıtlarında,kayıt+lar+ı+nda,PL+P3SG+LOC,adjudicated_new
748,sağladık,sağla+dık,PAST.A1PL/PTCP,adjudicated_new
749,gösterilerek,gösteril+erek,CV,annotator_agreed
750,Romantik,Romantik,,annotator_agreed
751,severiz,sev+er+iz,AOR+A1PL,adjudicated_new
752,KIRIŞIKLIKLARINI,KIRIŞIKLIK+LAR+I+NI,PL+P3SG+ACC,adjudicated_new
753,yolların,yol+lar+ın,,annotator_agreed
754,klişeleşmiş,klişeleş+miş,,annotator_agreed
755,sonuçları,sonuç+lar+ı,,annotator_agreed
756,kitap,kitap,,annotator_agreed
757,ülkemizde,ülke+miz+de,P1PL+LOC,annotator_agreed
758,görevini,görev+i+ni,,annotator_agreed
759,başkanları,başkan+lar+ı,,annotator_agreed
760,bunu,bu+nu,ACC,adjudicated_new
761,pembe,pembe,,annotator_agreed
762,yapması,yap+ma+sı,VN+P3SG,adjudicated_new
763,yumuşuyoruz,yumuş+uyor+uz,PROG+A1PL,adjudicated_new
764,kabulünde,kabul+ü+nde,P3SG+LOC,adjudicated_new
765,polisler,polis+ler,PL,annotator_agreed
766,Shamil,Shamil,,annotator_agreed
767,şartlarında,şart+lar+ın+da,,annotator_agreed
768,süredir,süre+dir,COP,adjudicated_new
769,edildiği,ed+il+diğ+i,PASS/REFL+PTCP+P3SG/ACC,adjudicated_new
770,parasını,para+sı+nı,P3SG+ACC,annotator_agreed
771,numaralarına,numara+lar+ı+na,PL+P3SG+DAT,adjudicated_new
772,Demokratik,Demokratik,,annotator_agreed
773,artışında,artış+ı+nda,P3SG+LOC,adjudicated_new
774,düzene,düzen+e,DAT,annotator_agreed
775,santralı,santral+ı,,annotator_agreed
776,gösterim,gösterim,,annotator_agreed
777,GERÇEĞİ,GERÇEĞİ,,annotator_agreed
778,geçişleri,geçiş+ler+i,,annotator_agreed
779,kısa,kısa,,annotator_agreed
780,bedduayla,beddua+yla,INS,adjudicated_new
781,bayan,bayan,,adjudicated_new
782,kurulabilirler,kurul+abil+ir+ler,ABIL+AOR+A3PL,annotator_agreed
783,kurulması,kur+ul+ma+sı,PASS/REFL+VN+P3SG,adjudicated_new
784,yaşama,yaşama,,annotator_agreed
785,inşallah,inşallah,,annotator_agreed
786,sonuca,sonuc+a,DAT,annotator_agreed
787,bütün,bütün,,annotator_agreed
788,İÇİLMELİ,İÇ+İL+MELİ,PASS/REFL+NEC,adjudicated_new
789,Ülkemizin,Ülke+miz+in,,annotator_agreed
790,hatlarından,hat+lar+ı+ndan,PL+P3SG+ABL,adjudicated_new
791,verdiğimiz,ver+diğ+imiz,PTCP+P1PL,adjudicated_new
792,üretimi,üretim+i,,annotator_agreed
793,Samsunumuzun,Samsun+umuz+un,,annotator_agreed
794,dağılan,dağıl+an,PTCP,annotator_agreed
795,Gıda,Gıda,,annotator_agreed
796,İran,İran,,annotator_agreed
797,nefret,nefret,,annotator_agreed
798,olacaktır,ol+acak+tır,,annotator_agreed
799,şüphesiz,şüphe+siz,,annotator_agreed
800,Denetleme,Denetleme,,annotator_agreed
801,çıkabilecek,çık+abil+ecek,,annotator_agreed
802,Karlshamn,Karlshamn,,annotator_agreed
803,olduğuna,ol+duğ+u+na,,annotator_agreed
804,Benim,Ben+im,,annotator_agreed
805,içeriyor,içer+iyor,PROG,annotator_agreed
806,sağlanması,sağla+n+ma+sı,PASS/REFL+VN+P3SG,adjudicated_new
807,katledilmiştir,katled+il+miş+tir,PASS/REFL+EVID/PTCP+COP,adjudicated_new
808,çatışma,çatışma,,annotator_agreed
809,birleşimiyle,birleşim+i+yle,,annotator_agreed
810,değil,değil,,annotator_agreed
811,uygulanacak,uygulan+acak,,annotator_agreed
812,yapılabilmesi,yapıl+abil+me+si,,annotator_agreed
813,duygu,duygu,,annotator_agreed
814,aydınlığa,aydınlığ+a,DAT,annotator_agreed
815,Üyesi,Üye+si,P3SG,annotator_agreed
816,proje,proje,,annotator_agreed
817,bazen,bazen,,adjudicated_new
818,Okulumuzun,Okul+umuz+un,,annotator_agreed
819,sorunlarının,sorun+lar+ı+nın,,annotator_agreed
820,lekelenmelerin,lekelenme+ler+in,,annotator_agreed
821,yılda,yıl+da,LOC,annotator_agreed
822,başlıyor,başlı+yor,PROG,annotator_agreed
823,köpeğine,köpeğ+i+ne,P3SG+DAT,adjudicated_new
824,tersi,ters+i,,annotator_agreed
825,napıcan,napıcan,,annotator_agreed
826,savaşı,savaş+ı,,annotator_agreed
827,Todas,Todas,,annotator_agreed
828,mahsulünü,mahsul+ü+nü,,annotator_agreed
829,dede,dede,,annotator_agreed
830,kırışıklıklar,kırışıklık+lar,PL,annotator_agreed
831,moral,moral,,annotator_agreed
832,şahsen,şahsen,,adjudicated_new
833,Ekibin,Ekib+in,,annotator_agreed
834,nesli,nesl+i,P3SG/ACC,adjudicated_new
835,marketer,marketer,,annotator_agreed
836,aralığında,aralığ+ı+nda,P3SG+LOC,adjudicated_new
837,kesinlikle,kesinlikle,,annotator_agreed
838,Görsel,Gör+sel,,annotator_agreed
839,Bazı,Bazı,,annotator_agreed
840,yerinin,yer+i+nin,,annotator_agreed
841,ANMA,ANMA,,annotator_agreed
842,camlarını,cam+lar+ı+nı,,annotator_agreed
843,silahın,silah+ın,,annotator_agreed
844,adaptasyonunu,adaptasyon+u+nu,,annotator_agreed
845,gelişimleri,gelişim+ler+i,,annotator_agreed
846,geceleri,gece+ler+i,PL+P3SG/ACC,adjudicated_new
847,sektör,sektör,,adjudicated_new
848,ulaştı,ulaş+tı,PAST,annotator_agreed
849,yönlendiricileri,yönlendirici+ler+i,,annotator_agreed
850,tamir,tamir,,adjudicated_new
851,yaparken,yap+ar+ken,AOR+CV,annotator_agreed
852,derslerimizin,ders+ler+imiz+in,,annotator_agreed
853,sürekli,sürek+li,ADJ,annotator_agreed
854,sınavını,sınav+ı+nı,,annotator_agreed
855,serumuna,serum+u+na,P3SG+DAT,adjudicated_new
856,uğrattı,uğrat+tı,PAST,annotator_agreed
857,göstergeler,gösterge+ler,PL,annotator_agreed
858,örneği,örneğ+i,,annotator_agreed
859,koyuyor,koy+uyor,PROG,adjudicated_new
860,ateşli,ateş+li,ADJ,annotator_agreed
861,sokulmuş,sokul+muş,,annotator_agreed
862,takipçisi,takipçi+si,P3SG,annotator_agreed
863,güneyinde,güney+i+nde,P3SG+LOC,adjudicated_new
864,Emir,Emir,,adjudicated_new
865,ailelere,aile+ler+e,PL+DAT,annotator_agreed
866,kademelerimizde,kademe+ler+imiz+de,PL+P1PL+LOC,annotator_agreed
867,Kardeşler,Kardeş+ler,PL,annotator_agreed
868,mutluluk,mutlu+luk,NMLZ,annotator_agreed
869,Mecliste,Meclis+te,LOC,annotator_agreed
870,dair,dair,,adjudicated_new
871,yorgun,yorgun,,annotator_agreed
872,hoşgörü,hoşgörü,,annotator_agreed
873,hacimle,hacim+le,INS,annotator_agreed
874,düşüş,düşüş,,annotator_agreed
875,güvenle,güven+le,INS,annotator_agreed
876,sizin,siz+in,,annotator_agreed
877,çıkmadan,çık+ma+dan,,annotator_agreed
878,yükü,yük+ü,,annotator_agreed
879,sağlayacağız,sağla+yacağ+ız,FUT+A1PL,adjudicated_new
880,Üreticilerimize,Üretici+ler+imiz+e,PL+P1PL+DAT,annotator_agreed
881,actualizados,actualizados,,annotator_agreed
882,seyircinin,seyir+ci+nin,AGT+GEN/P2SG,adjudicated_new
883,olacak,ol+acak,,annotator_agreed
884,Tekkeköy,Tekkeköy,,annotator_agreed
885,gerici,geri+ci,AGT,annotator_agreed
886,çubuk,çubuk,,annotator_agreed
887,yönde,yön+de,LOC,annotator_agreed
888,Şehrimizin,Şehr+imiz+in,,annotator_agreed
889,mersini,mersin+i,,annotator_agreed
890,dondurucuda,dondurucu+da,LOC,annotator_agreed
891,tahmin,tahmin,,annotator_agreed
892,CATCH,CATCH,,annotator_agreed
893,devamı,devam+ı,,annotator_agreed
894,Arthur,Arthur,,annotator_agreed
895,diri,diri,,annotator_agreed
896,noktalarında,nokta+lar+ı+nda,PL+P3SG+LOC,adjudicated_new
897,Yakakent,Yakakent,,annotator_agreed
898,sütun,sütun,,annotator_agreed
899,olup,ol+up,,annotator_agreed
900,pamuk,pamuk,,annotator_agreed
901,anlamda,anlam+da,LOC,annotator_agreed
902,tavsiye,tavsiye,,adjudicated_new
903,İslamic,İslamic,,annotator_agreed
904,bilincinde,bilinc+i+nde,P3SG+LOC,adjudicated_new
905,hediye,hediye,,adjudicated_new
906,işlemlerden,işlem+ler+den,PL+ABL,annotator_agreed
907,kararın,karar+ın,,annotator_agreed
908,uyarısında,uyarı+sı+nda,P3SG+LOC,adjudicated_new
909,Larroque,Larroque,,annotator_agreed
910,haklarına,hak+lar+ı+na,PL+P3SG+DAT,adjudicated_new
911,isteyen,iste+yen,PTCP,adjudicated_new
912,acınacak,acın+acak,,annotator_agreed
913,çalışmalar,çalış+ma+lar,VN+PL,adjudicated_new
914,dönemde,dönem+de,LOC,annotator_agreed
915,düşmanı,düşman+ı,,annotator_agreed
916,Büyükbaş,Büyükbaş,,annotator_agreed
917,insanlara,insan+lar+a,PL+DAT,annotator_agreed
918,tüketilmesi,tüket+il+me+si,PASS/REFL+VN+P3SG,adjudicated_new
919,çıkması,çık+ma+sı,VN+P3SG,adjudicated_new
920,ilgilendiren,ilgilen+dir+en,CAUS+PTCP,adjudicated_new
921,smacı,smac+ı,,annotator_agreed
922,Araştırmanın,Araştır+ma+nın,,annotator_agreed
923,ultrasondur,ultrason+dur,COP,annotator_agreed
924,Seçimleri,Seçim+ler+i,,annotator_agreed
925,herkese,herkes+e,DAT,annotator_agreed
926,PROGRAMIMIZI,PROGRAM+IMIZ+I,P1PL+ACC,adjudicated_new
927,kartı,kart+ı,,annotator_agreed
928,Terme,Terme,,annotator_agreed
929,Aldıkları,Al+dık+lar+ı,,annotator_agreed
930,King,King,,annotator_agreed
931,vergisine,vergi+si+ne,P3SG+DAT,adjudicated_new
932,Hakkında,Hakk+ı+nda,P3SG+LOC,adjudicated_new
933,cerrahi,cerrahi,,annotator_agreed
934,ödenmesiyle,öde+n+me+si+yle,PASS/REFL+VN+P3SG+INS,adjudicated_new
935,günden,gün+den,ABL,annotator_agreed
936,ödemesine,öde+me+si+ne,VN+P3SG+DAT,adjudicated_new
937,Valisi,Vali+si,P3SG,annotator_agreed
938,girmesini,gir+me+si+ni,,annotator_agreed
939,hedefler,hedef+ler,PL,annotator_agreed
940,smaç,smaç,,annotator_agreed
941,ödenen,öde+n+en,PASS/REFL+PTCP,adjudicated_new
942,hattı,hatt+ı,P3SG/ACC,adjudicated_new
943,çözüm,çözüm,,annotator_agreed
944,alanda,alan+da,LOC,annotator_agreed
945,teşkilatında,teşkilat+ı+nda,P3SG+LOC,adjudicated_new
946,Örneğin,Örneğin,,annotator_agreed
947,Kontrolden,Kontrol+den,ABL,annotator_agreed
948,kalkacaktır,kalk+acak+tır,,annotator_agreed
949,topladı,topla+dı,PAST,adjudicated_new
950,üyesidir,üye+si+dir,P3SG+COP,annotator_agreed
951,sizi,siz+i,,annotator_agreed
952,nüfusa,nüfus+a,DAT,annotator_agreed
953,izlettiriyor,izle+t+tir+iyor,CAUS+CAUS+PROG,adjudicated_new
954,başlattığı,başla+t+tığ+ı,CAUS+PTCP+P3SG/ACC,adjudicated_new
955,yorum,yorum,,annotator_agreed
956,etkileri,etki+ler+i,,annotator_agreed
957,şekerli,şeker+li,ADJ,annotator_agreed
958,otlar,ot+lar,PL,annotator_agreed
959,tarifleri,tarif+ler+i,,annotator_agreed
960,Listenin,Liste+nin,,annotator_agreed
961,Ingram,Ingram,,annotator_agreed
962,kuvvetlendirmek,kuvvet+len+dir+mek,UNK+CAUS+INF,adjudicated_new
963,süreçte,süreç+te,LOC,annotator_agreed
964,kalkıyor,kalk+ıyor,PROG,adjudicated_new
965,Finansal,Finans+al,ADJ,adjudicated_new
966,kapsamına,kapsam+ı+na,P3SG+DAT,adjudicated_new
967,Accountant,Accountant,,annotator_agreed
968,takvimi,takvim+i,,annotator_agreed
969,dikkat,dikkat,,annotator_agreed
970,sönük,sönük,,annotator_agreed
971,yetişmesi,yetiş+me+si,VN+P3SG,adjudicated_new
972,ölmedi,öl+me+di,NEG+PAST,adjudicated_new
973,Bölgesi,Bölge+si,P3SG,annotator_agreed
974,kalbine,kalb+i+ne,P3SG+DAT,adjudicated_new
975,başlar,başla+r,AOR,adjudicated_new
976,hücreler,hücre+ler,PL,annotator_agreed
977,kültürel,kültürel,,annotator_agreed
978,Onarım,Onarım,,annotator_agreed
979,Anahtar,Anahtar,,annotator_agreed
980,Kimi,Kimi,,annotator_agreed
981,Amerika,Amerika,,annotator_agreed
982,gençleştirmesinde,genç+leş+tir+me+si+nde,UNK+CAUS+VN+P3SG+LOC,adjudicated_new
983,vermeleri,ver+me+ler+i,VN+PL+P3SG/ACC,adjudicated_new
984,yazın,yazın,,adjudicated_new
985,Yemekleri,Yemek+ler+i,,annotator_agreed
986,başrollerini,başrol+ler+i+ni,,annotator_agreed
987,dolayında,dolay+ı+nda,P3SG+LOC,adjudicated_new
988,Kurs,Kurs,,annotator_agreed
989,gelişimlerinde,gelişim+ler+i+nde,PL+P3SG+LOC,adjudicated_new
990,sorunları,sorun+lar+ı,,annotator_agreed
991,expired,expired,,annotator_agreed
992,Alacağı,Al+acağ+ı,,annotator_agreed
993,dönüşerek,dönüş+erek,CV,annotator_agreed
994,geldiğince,gel+diğ+ince,PTCP+CV,adjudicated_new
995,bizden,biz+den,ABL,annotator_agreed
996,ordularına,ordu+lar+ı+na,PL+P3SG+DAT,adjudicated_new
997,şartlarına,şart+lar+ı+na,PL+P3SG+DAT,adjudicated_new
998,konu,konu,,annotator_agreed
999,planlanan,planla+n+an,PASS/REFL+PTCP,adjudicated_new
1000,fakat,fakat,,annotator_agreed
